observations,WM-hypointensities
781,-0.20073952641355924
782,-0.35991580409834545
784,-0.43016719202136733
785,-1.909421163153679
786,-1.6250094081573636
787,-0.681344726779673
789,-3.969797197332117
790,-0.9094627697661238
791,-11.635599545939423
793,-0.8859289699396873
794,-1.0776753566720139
796,-0.5489744259512763
797,-0.1048675993483773
798,-1.1686284380876575
799,-0.4719698979542118
8,-1.3497563457267185
80,-0.5187012272203843
800,-0.21442832294793637
801,-0.35749543455258725
802,-1.3919559659169447
805,-0.3110402924204352
806,-1.3398629559774453
807,-0.8581245202564407
808,-0.37266511769240385
809,-0.543712918895652
81,-1.024466215812991
811,-0.29557192311316444
812,-0.7634415363378401
814,-1.4662271937604487
815,-0.8548518286132017
817,-0.30518008615767583
818,-0.7597249239559644
819,-0.9345723085567117
82,-0.21918060449236396
820,-1.0117207690331063
821,-0.18527497477435714
822,-0.26945872575151636
823,-0.8195420764888578
824,-0.17528446800875913
826,-0.7262288000502566
827,-0.1462579231672756
828,-0.6304874718292343
829,-1.0183999538043014
83,-0.9531264092064964
830,-0.9323477844482112
831,-0.12651504338344416
832,-0.8363159445948357
834,-0.13250437052811734
835,-1.3450355117073374
836,-1.2164879130192932
837,-0.9732163639366812
839,-1.817854936140201
84,-0.34234929350365634
840,-1.2964120482633823
842,-8.660990012955516
843,-0.12214655701340818
844,-0.8816706757499194
845,-0.8600858164449302
847,-0.8807184507241608
848,-0.3040313054818841
849,-0.6497628710844585
85,-0.4507861998492075
850,-1.0062053968147653
851,-0.24541201198092813
852,-1.427698267982951
853,-0.5505504683477328
855,-0.31477618383700734
858,-0.36726190359318145
859,-1.1414552383564869
860,-0.5843814836254718
861,-0.1499665226592699
862,-0.6699013170292544
863,-0.3587993710133018
864,-0.9959354448393497
865,-0.327884242386168
866,-0.6194288417098871
868,-0.4659331899803099
869,-0.3220465827408297
870,-1.1100436211488363
871,-0.8324176515808437
874,-0.978252573852922
875,-0.16855607138444414
877,-0.6219238848716583
878,-0.118575622109102
879,-0.521769535227433
880,-0.22843263130832708
881,-0.6475485443688427
882,-0.7142806395182426
883,-0.24069277511058665
89,-0.2623294797718405
9,-0.1517241778122362
90,-0.6912168778152302
91,-0.3114237870523223
92,-0.5299191568737235
93,-0.2278243291465773
94,-0.19627987666668426
95,-0.39413466128906205
96,-0.31034738709599263
97,-0.1388197909383798
98,-0.18178288255393643
986,-0.20764545595508344
987,-0.2957983073714762
988,-0.3617355806253422
99,-0.5335129721066156
990,-0.2260565368271244
991,-0.5969214250521943
992,-0.38289668232024754
993,-0.1745402033007094
994,-0.9552299704297917
995,-0.2432776972136308
996,-0.14620024078305943
997,-0.7149089153167933
998,-0.82950217060248
999,-0.2864739527117934
